   0,   1.000,   0.099,   1.000,   1.000,   0.099
   1,   0.998,   0.112,   0.999,   0.997,   0.112
   2,   0.997,   0.125,   0.999,   0.995,   0.125
   3,   0.994,   0.143,   0.998,   0.992,   0.143
   4,   0.991,   0.162,   0.997,   0.988,   0.163
   5,   0.987,   0.187,   0.995,   0.982,   0.187
   6,   0.982,   0.215,   0.993,   0.974,   0.216
   7,   0.973,   0.251,   0.989,   0.963,   0.252
   8,   0.962,   0.294,   0.985,   0.948,   0.296
   9,   0.946,   0.346,   0.978,   0.926,   0.350
  10,   0.924,   0.409,   0.969,   0.895,   0.416
  11,   0.892,   0.485,   0.955,   0.852,   0.496
  12,   0.849,   0.575,   0.937,   0.795,   0.594
  13,   0.792,   0.678,   0.911,   0.721,   0.710
  14,   0.721,   0.793,   0.878,   0.633,   0.846
  15,   0.638,   0.914,   0.836,   0.534,   0.999
  16,   0.551,   1.037,   0.788,   0.434,   1.167
  17,   0.465,   1.155,   0.737,   0.342,   1.345
  18,   0.386,   1.263,   0.684,   0.264,   1.528
  19,   0.318,   1.360,   0.633,   0.201,   1.710
  20,   0.262,   1.445,   0.585,   0.153,   1.890
  21,   0.216,   1.519,   0.541,   0.117,   2.065
  22,   0.179,   1.582,   0.502,   0.090,   2.233
  23,   0.150,   1.636,   0.467,   0.070,   2.394
  24,   0.126,   1.683,   0.436,   0.055,   2.549
  25,   0.107,   1.723,   0.408,   0.044,   2.696
  26,   0.092,   1.758,   0.384,   0.035,   2.839
  27,   0.079,   1.789,   0.362,   0.029,   2.972
  28,   0.069,   1.817,   0.342,   0.024,   3.105
  29,   0.061,   1.839,   0.325,   0.020,   3.225
  30,   0.053,   1.862,   0.308,   0.016,   3.353
